timestamp,rod_position,reactor_power_percent,coolant_temp_celsius,system_pressure_bar
1752897319.192499,28.0,1.342,279.874513,139.9372565
1752897319.192499,28.0,1.6669,279.74957609349997,139.87478804674998
1752897319.192499,28.0,1.975555,279.6251646379532,139.8125823189766
1752897319.192499,28.0,2.26877725,279.50125522150927,139.75062761075463
1752897319.192499,28.0,2.5473383875,279.37782560147974,139.68891280073987
1752897319.2883136,29.327051396427063,2.8500094399293374,279.2549117028389,139.62745585141946
1752897319.2883136,29.327051396427063,3.137546939737208,279.1324905673971,139.56624528369855
1752897319.2883136,29.327051396427063,3.4107075645546847,279.01054038346024,139.50527019173012
1752897319.2883136,29.327051396427063,3.6702101581312876,278.8890404285057,139.44452021425286
1752897319.2883136,29.327051396427063,3.9167376220290606,278.76797101472454,139.38398550736227
1752897319.3728373,29.977283962897143,4.170219517823693,278.6473423584939,139.32367117924696
1752897319.3728373,29.977283962897143,4.411027318828594,278.52713522829293,139.26356761414647
1752897319.3728373,29.977283962897143,4.639794729783249,278.40733135277344,139.20366567638672
1752897319.3728373,29.977283962897143,4.857123770190172,278.2879133727523,139.14395668637616
1752897319.3728373,29.977283962897143,5.063586358576749,278.1688647956038,139.0844323978019
1752897319.4523487,30.71253764151773,5.282037024838733,278.05020341874325,139.02510170937163
1752897319.4523487,30.71253764151773,5.4895651577876174,277.93191266477055,138.96595633238528
1752897319.4523487,30.71253764151773,5.6867168840890585,277.8139767837643,138.90698839188215
1752897319.4523487,30.71253764151773,5.874011024075427,277.6963808119085,138.84819040595426
1752897319.4523487,30.71253764151773,6.051940457062478,277.57911053218817,138.78955526609408
1752897319.5314827,31.31059305351053,6.239520052890625,277.4621802570014,138.7310901285007
1752897319.5314827,31.31059305351053,6.417720668927365,277.3455757478763,138.67278787393815
1752897319.5314827,31.31059305351053,6.587011254162268,277.2292834768836,138.6146417384418
1752897319.5314827,31.31059305351053,6.747837310135425,277.11329059111034,138.55664529555517
1752897319.5314827,31.31059305351053,6.900622063309926,276.9975848789098,138.4987924394549
1752897319.6114626,31.92304432028059,7.065131339481729,276.88218378347955,138.44109189173977
1752897319.6114626,31.92304432028059,7.221415151844942,276.76707481431555,138.38353740715777
1752897319.6114626,31.92304432028059,7.369884773589995,276.65224610406875,138.32612305203438
1752897319.6114626,31.92304432028059,7.510930914247794,276.53768637738807,138.26884318869404
1752897319.6114626,31.92304432028059,7.644924747872704,276.4233849213212,138.2116924606606
1752897319.691087,32.52346116784345,7.791566273647179,276.309360578271,138.1546802891355
1752897319.691087,32.52346116784345,7.930875723132931,276.1956022115666,138.0978011057833
1752897319.691087,32.52346116784345,8.063219700144394,276.082099240011,138.0410496200055
1752897319.691087,32.52346116784345,8.188946478305285,275.9688416101085,137.98442080505424
1752897319.691087,32.52346116784345,8.308386917558131,275.8558197696798,137.9279098848399
1752897319.772222,33.12166943032724,8.441490064606162,275.7430540948919,137.87152704744594
1752897319.772222,33.12166943032724,8.567938054301791,275.63053447492587,137.81526723746293
1752897319.772222,33.12166943032724,8.688063644512638,275.5182513031552,137.7591256515776
1752897319.772222,33.12166943032724,8.802182955212944,275.4061954519364,137.7030977259682
1752897319.772222,33.12166943032724,8.910596300378234,275.294358248661,137.6471791243305
1752897319.8505874,33.71786548252552,9.033513711708165,275.18276134010426,137.59138067005213
1752897319.8505874,33.71786548252552,9.1502852524716,275.0713953873129,137.53569769365646
1752897319.8505874,33.71786548252552,9.261218216196863,274.9602515169436,137.4801257584718
1752897319.8505874,33.71786548252552,9.366604531735863,274.8493212979827,137.42466064899136
1752897319.8505874,33.71786548252552,9.466721531497912,274.738596719631,137.3692983598155
1752897320.2249582,34.345756628899366,9.58320095412881,274.6281022227024,137.3140511113512
1752897320.2249582,34.345756628899366,9.69385640562816,274.5178289561995,137.25891447809974
1752897320.2249582,34.345756628899366,9.798979084552546,274.4077685103482,137.2038842551741
1752897320.2249582,34.345756628899366,9.89884562953071,274.2979128945373,137.14895644726866
1752897320.2249582,34.345756628899366,9.993718847259967,274.1882545163609,137.09412725818046
1752897320.305568,35.502560051702595,10.124248790009343,274.07884676228775,137.03942338114388
1752897320.305568,35.502560051702595,10.248252235621251,273.96967971726,136.98483985863
1752897320.305568,35.502560051702595,10.366055508952563,273.8607439606648,136.9303719803324
1752897320.305568,35.502560051702595,10.477968618617309,273.75203054161244,136.87601527080622
1752897320.305568,35.502560051702595,10.584286072798818,273.64353095545084,136.82176547772542
1752897320.3810408,36.092425742282394,10.706403367139961,273.53526879502385,136.76763439751193
1752897320.3810408,36.092425742282394,10.822414796764047,273.4272347828215,136.71361739141074
1752897320.3820953,36.092425742282394,10.932625654906929,273.3194201039124,136.6597100519562
1752897320.3820953,36.092425742282394,11.037325970142666,273.2118163828157,136.60590819140785
1752897320.3820953,36.092425742282394,11.136791269616618,273.1044156615287,136.55220783076436
1752897320.458727,36.67992067021639,11.252659996322471,272.9972424436924,136.4986212218462
1752897320.458727,36.67992067021639,11.362735286693031,272.8902879254006,136.4451439627003
1752897320.459804,36.67992067021639,11.467306812545063,272.78354374165673,136.39177187082836
1752897320.459804,36.67992067021639,11.566649762104493,272.67700194442904,136.33850097221452
1752897320.459804,36.67992067021639,11.661025564185952,272.5706549818031,136.28532749090155
1752897320.5361488,37.25899810319469,11.772090755803587,272.4645277904459,136.23226389522296
1752897320.5361488,37.25899810319469,11.87760268784034,272.35861193058247,136.17930596529123
1752897320.5361488,37.25899810319469,11.977839023275257,272.2528993831521,136.12644969157606
